warden_id,name,role,status,hire_date,badge_number,is_deleted
1001,Marcus Hale,SECURITY,ACTIVE,2021-03-15,BDG-4401,false
1002,Priya Nair,CARETAKER,ACTIVE,2022-07-01,BDG-4402,false
1003,Jordan Reyes,XENOBIOLOGIST,ACTIVE,2023-01-10,BDG-4403,false
1004,Lena Vasquez,FIELD,INACTIVE,2020-06-22,BDG-4404,false
1005,Tobias Grant,SECURITY,ACTIVE,2021-11-30,BDG-4405,false
1006,Saoirse Flynn,CARETAKER,RETIRED,2018-04-05,BDG-4406,false
1007,Deon Marsh,FIELD,ACTIVE,2023-08-17,BDG-4407,false
1008,Yuki Tanaka,XENOBIOLOGIST,ACTIVE,2022-02-28,BDG-4408,false
1009,Rafael Okonkwo,SECURITY,INACTIVE,2019-09-14,BDG-4409,false
1010,Ingrid Solberg,CARETAKER,ACTIVE,2023-05-03,BDG-4410,false
1011,Cade Moretti,FIELD,DECEASED,2017-12-01,BDG-4411,false
1012,Amara Diallo,XENOBIOLOGIST,ACTIVE,2024-01-22,BDG-4412,false
1013,Fletcher Rowe,SECURITY,RETIRED,2016-08-09,BDG-4413,false
1014,Nadia Petrov,CARETAKER,ACTIVE,2022-10-18,BDG-4414,false
1015,Emeka Osei,FIELD,ACTIVE,2023-03-27,BDG-4415,false
1016,Hana Choi,XENOBIOLOGIST,INACTIVE,2021-07-13,BDG-4416,false
1017,Sterling Walsh,SECURITY,ACTIVE,2024-06-01,BDG-4417,false
1018,Liora Stein,CARETAKER,ACTIVE,2022-12-05,BDG-4418,false
1019,Bram Dekker,FIELD,RETIRED,2015-02-19,BDG-4419,false
1020,Cassidy Vance,XENOBIOLOGIST,ACTIVE,2023-11-11,BDG-4420,false
